snd	  334.85	ACK 	   29233	   0
rcv	  335.92	DATA	   38233	1000
snd	  335.93	ACK 	   29233	   0
rcv	  336.93	DATA	   29233	1000
snd	  336.94	ACK 	   30233	   0
drp	  336.96	DATA	   39233	1000
rcv	  337.98	DATA	   30233	1000
snd	  337.98	ACK 	   31233	   0
drp	   338.0	DATA	   40233	1000
rcv	  339.01	DATA	   31233	1000
snd	  339.02	ACK 	   32233	   0
drp	  344.13	DATA	   31233	1000
rcv	  349.27	DATA	   31233	1000
snd	  349.27	ACK 	   32233	   0
rcv	  349.31	DATA	   41233	1000
snd	  349.32	ACK 	   32233	   0
rcv	  349.87	DATA	   32233	1000
snd	  349.89	ACK 	   36233	   0
rcv	  350.46	DATA	   42233	1000
snd	  350.47	ACK 	   36233	   0
rcv	  350.48	DATA	   43233	1000
snd	  350.49	ACK 	   36233	   0
rcv	  351.04	DATA	   33233	1000
snd	  351.05	ACK 	   36233	   0
drp	  351.08	DATA	   44233	1000
rcv	  351.11	DATA	   45233	1000
snd	  351.12	ACK 	   36233	   0
drp	  351.66	DATA	   36233	1000
drp	  357.34	DATA	   36233	1000
rcv	  362.44	DATA	   36233	1000
snd	  362.45	ACK 	   39233	   0
drp	  362.48	DATA	   46233	1000
rcv	  363.47	DATA	   37233	1000
snd	  363.48	ACK 	   39233	   0
rcv	  368.62	DATA	   37233	1000
snd	  368.63	ACK 	   39233	   0
rcv	  373.75	DATA	   37233	1000
snd	  373.75	ACK 	   39233	   0
rcv	  374.79	DATA	   39233	1000
snd	   374.8	ACK 	   40233	   0
rcv	   374.8	DATA	   47233	1000
snd	  374.81	ACK 	   40233	   0
rcv	  374.81	DATA	   48233	1000
snd	  374.81	ACK 	   40233	   0
drp	  375.35	DATA	   49233	1000
drp	  376.36	DATA	   40233	1000
rcv	  381.54	DATA	   40233	1000
snd	  381.55	ACK 	   44233	   0
rcv	  386.67	DATA	   40233	1000
snd	  386.68	ACK 	   44233	   0
drp	   391.8	DATA	   40233	1000
rcv	  396.91	DATA	   40233	1000
snd	  396.92	ACK 	   44233	   0
rcv	  396.95	DATA	   50233	1000
snd	  396.97	ACK 	   44233	   0
drp	  396.98	DATA	   51233	1000
rcv	  397.52	DATA	   41233	1000
snd	  397.53	ACK 	   44233	   0
drp	  397.54	DATA	   52233	1000
rcv	  397.55	DATA	   53233	1000
snd	  397.56	ACK 	   44233	   0
drp	  398.09	DATA	   44233	1000
rcv	  403.22	DATA	   44233	1000
snd	  403.23	ACK 	   46233	   0
drp	  403.79	DATA	   54233	1000
rcv	  403.81	DATA	   55233	1000
snd	  403.82	ACK 	   46233	   0
rcv	  404.37	DATA	   46233	1000
snd	  404.38	ACK 	   49233	   0
rcv	  409.47	DATA	   46233	1000
snd	  409.48	ACK 	   49233	   0
rcv	  409.52	DATA	   56233	1000
snd	  409.53	ACK 	   49233	   0
drp	  410.52	DATA	   47233	1000
drp	  415.64	DATA	   47233	1000
drp	  420.96	DATA	   47233	1000
drp	  426.08	DATA	   47233	1000
drp	  431.22	DATA	   47233	1000
rcv	  436.34	DATA	   47233	1000
snd	  436.35	ACK 	   49233	   0
rcv	  441.45	DATA	   47233	1000
snd	  441.46	ACK 	   49233	   0
drp	   441.5	DATA	   57233	1000
rcv	  441.52	DATA	   58233	1000
snd	  441.53	ACK 	   49233	   0
drp	  442.08	DATA	   49233	1000
drp	  447.17	DATA	   49233	1000
rcv	  452.29	DATA	   49233	1000
snd	   452.3	ACK 	   51233	   0
drp	  457.42	DATA	   49233	1000
rcv	  462.56	DATA	   49233	1000
snd	  462.57	ACK 	   51233	   0
drp	  467.72	DATA	   49233	1000
drp	  473.21	DATA	   49233	1000
rcv	  478.34	DATA	   49233	1000
snd	  478.35	ACK 	   51233	   0
rcv	  478.39	DATA	   59233	1000
snd	   478.4	ACK 	   51233	   0
rcv	  478.43	DATA	   60233	1000
snd	  478.43	ACK 	   51233	   0
rcv	  478.98	DATA	   51233	1000
snd	  478.99	ACK 	   52233	   0
drp	  484.63	DATA	   51233	1000
drp	  489.76	DATA	   51233	1000
rcv	  494.91	DATA	   51233	1000
snd	  494.91	ACK 	   52233	   0
rcv	  500.05	DATA	   51233	1000
snd	  500.06	ACK 	   52233	   0
rcv	   500.1	DATA	   61233	1000
snd	  500.11	ACK 	   52233	   0
rcv	  500.66	DATA	   52233	1000
snd	  500.67	ACK 	   54233	   0
